"region","country_iso3","city","year","status_institute","language","subsidiaries_in","main_institute_in","open1","close1","open2","close2","open3","close3","open_before_1965"
7,"BOL","Cochabamba",1969,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Arica",2000,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Santa Cruz",2001,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Santa Cruz",2000,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Villa Ballester",1982,2,2,NA,NA,1971,1972,1973,1974,1977,1982,0
7,"CHL","Arica",1997,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"COL","Medellin",1977,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"CHL","Antofagasta",1989,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Curitiba",1979,3,2,NA,NA,1972,NA,NA,NA,NA,NA,0
7,"CHL","Valparaiso",1985,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"PER","Lima",1982,3,2,NA,NA,1966,NA,NA,NA,NA,NA,0
7,"BRA","Recife",1965,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",2014,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"CHL","Arica",2001,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Martinez",1967,0,0,NA,NA,1971,1974,1975,1982,NA,NA,0
7,"PER","Lima",1976,3,2,NA,NA,1966,NA,NA,NA,NA,NA,0
7,"BRA","Brasilia",2003,0,0,NA,NA,1970,1998,NA,NA,NA,NA,0
7,"BOL","La Paz",1982,3,2,NA,NA,1966,NA,NA,NA,NA,NA,0
7,"CHL","Valparaiso",1968,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"CHL","Osorno",1967,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Tarija",2009,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Brasilia",1994,3,2,NA,NA,1970,1998,NA,NA,NA,NA,0
7,"CHL","Valparaiso",2014,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"CHL","Arica",1995,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"VEN","Caracas",2014,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Vitoria",2011,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"URY","Montevideo",2009,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Valparaiso",2005,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"ARG","Buenos Aires",1988,3,2,NA,NA,1965,NA,NA,NA,NA,NA,0
7,"CHL","Antofagasta",2004,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Pelotas",1997,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Pelotas",1999,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"CHL","Arica",2004,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Valparaiso",2000,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Porto Alegre",1976,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"ARG","Cordoba",1995,3,2,NA,NA,1967,NA,NA,NA,NA,NA,0
7,"BRA","Vitoria",2003,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"URY","Montevideo",1984,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Pelotas",2013,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"CHL","Valparaiso",2013,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Recife",1975,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"CHL","Concepcion",1980,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Potosi",1976,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BOL","Tarija",1995,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"ARG","Buenos Aires",1965,3,2,NA,NA,1965,NA,NA,NA,NA,NA,0
7,"BRA","Santa Maria",1995,0,0,NA,NA,1971,1972,1973,1974,NA,NA,0
7,"BOL","Sucre",1996,0,0,NA,NA,1971,1973,NA,NA,NA,NA,0
7,"CHL","Santiago",1984,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Valparaiso",2004,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"CHL","Concepcion",1997,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"COL","Bogota",1994,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Valparaiso",2011,0,0,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Santa Maria",2004,0,0,NA,NA,1971,1972,1973,1974,NA,NA,0
7,"COL","Medellin",1966,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Porto Alegre",1977,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"CHL","Valparaiso",1969,3,2,NA,NA,1965,1994,NA,NA,NA,NA,1
7,"BRA","Recife",1972,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"BRA","Santa Maria",1969,0,0,NA,NA,1971,1972,1973,1974,NA,NA,0
7,"BRA","Sao Paulo",1968,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BOL","Oruro",1991,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"CHL","Arica",1982,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Recife",1966,3,2,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"CHL","Arica",1994,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Santa Maria",2013,0,0,NA,NA,1971,1972,1973,1974,NA,NA,0
7,"BRA","Valladares",2007,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",1998,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Rio de Janeiro",1974,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Valladares",1981,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"BRA","Valladares",1984,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"BRA","Porto Alegre",2003,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Curitiba",2005,2,1,NA,"Sao Paulo",1972,NA,NA,NA,NA,NA,0
7,"BRA","Ouro Preto",1983,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"CHL","Osorno",2001,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",1976,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Curitiba",1972,3,2,NA,NA,1972,NA,NA,NA,NA,NA,0
7,"BRA","Santa Maria",1976,0,0,NA,NA,1971,1972,1973,1974,NA,NA,0
7,"BRA","Recife",1982,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"ARG","Martinez",2009,0,0,NA,NA,1971,1974,1975,1982,NA,NA,0
7,"BRA","Santa Cruz do Sul",1989,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BOL","Potosi",1979,0,0,NA,NA,1971,1972,NA,NA,NA,NA,0
7,"BRA","Recife",2003,0,0,NA,NA,1966,1967,NA,NA,NA,NA,0
7,"ARG","La Plata",1969,0,0,NA,NA,1971,1982,1983,1985,NA,NA,0
7,"PER","Lima",1985,3,2,NA,NA,1966,NA,NA,NA,NA,NA,0
7,"CHL","Santiago",1968,3,2,NA,NA,1965,NA,NA,NA,NA,NA,1
7,"BRA","Santa Cruz do Sul",2001,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Valladares",2010,0,0,NA,NA,1972,1973,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",2006,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
7,"BRA","Santa Cruz do Sul",2012,0,0,NA,NA,1971,1974,NA,NA,NA,NA,0
