"country_iso3","year","registrations"
"BTN",1971,0
"BWA",1971,0
"CAF",1971,8
"CAN",1971,259
"CHE",1971,216
"CHL",1971,69
"CHN",1971,0
"CIV",1971,38
"CMR",1971,29
"COD",1971,NA
"COG",1971,NA
"COL",1971,82
"COM",1971,NA
"CONGO",1971,0
"CPV",1971,NA
"CRI",1971,24
"CSHH",1971,471
"CSXX",1971,NA
"CUB",1971,1
"CYP",1971,16
"CZE",1971,NA
"DDDE",1971,0
"DEU",1971,471
"DJI",1971,NA
"DMA",1971,NA
"DNK",1971,24
"DOM",1971,7
"DZA",1971,40
"ECU",1971,60
"EGY",1971,0
"ERI",1971,NA
"ESP",1971,305
"EST",1971,NA
"ETH",1971,30
"FIN",1971,84
"FJI",1971,0
"FRA",1971,774
"GAB",1971,9
"GBR",1971,244
"GEO",1971,NA
"GHA",1971,88
"GIN",1971,2
"GMB",1971,2
"GNB",1971,NA
"GNQ",1971,0
"GRC",1971,599
"GRD",1971,NA
"GTM",1971,53
"GUAYA",1971,3
"GUM",1971,0
"COMIS",1971,NA
"HKG",1971,12
"HND",1971,16
"HRV",1971,NA
"HTI",1971,15
"HUN",1971,62
"IDN",1971,635
"IND",1971,278
"IRL",1971,30
"IRN",1971,270
"IRQ",1971,41
"ISL",1971,11
"ISPAL",1971,43
"ISR",1971,0
"ITA",1971,392
"JAM",1971,13
"JOR",1971,130
"JPN",1971,1114
"KAZ",1971,NA
"KEN",1971,53
"KGZ",1971,NA
"KHM",1971,4
"KNA",1971,NA
"KOR",1971,167
"KWT",1971,3
"LAO",1971,1
"LBN",1971,68
"LBR",1971,12
"LBY",1971,25
"LCA",1971,NA
"LIE",1971,0
"LKA",1971,11
"LSO",1971,0
"LTU",1971,NA
"LUX",1971,0
"LVA",1971,NA
"MAC",1971,0
"MAR",1971,43
"MCO",1971,0
"MDA",1971,NA
"MDG",1971,18
"MDV",1971,0
"MEX",1971,209
"MKD",1971,NA
"MLI",1971,10
"MLT",1971,10
"MMR",1971,19
"MNE",1971,NA
"MNG",1971,0
"MOZ",1971,0
"MRT",1971,4
"MSR",1971,0
"MTQ",1971,0
"MUS",1971,16
"MWI",1971,4
"MYS",1971,20
"NAM",1971,0
"NER",1971,3
"NGA",1971,205
"NIC",1971,17
"NLD",1971,15
"NONAT",1971,128
"NOR",1971,106
"NPL",1971,16
"NZL",1971,6
"OMN",1971,0
"PAK",1971,71
"PAN",1971,10
"PER",1971,131
"PHL",1971,45
"PNG",1971,NA
"POL",1971,201
"PRI",1971,0
"PRK",1971,0
"PRT",1971,74
"PRY",1971,19
"PSE",1971,NA
"QAT",1971,0
"ROU",1971,80
"RUABU",1971,NA
"RUS",1971,NA
"RWA",1971,38
"SAU",1971,10
"SDN",1971,26
"SEN",1971,7
"SGP",1971,5
"SLB",1971,NA
"SLE",1971,23
"SLV",1971,41
"SMR",1971,0
"SOM",1971,36
"SRB",1971,NA
"SSD",1971,NA
"SUHH",1971,20
"SVK",1971,NA
"SVN",1971,NA
"SWE",1971,79
"SWZ",1971,0
"SYC",1971,NA
"SYR",1971,263
"TCA",1971,0
"TCD",1971,2
"TGO",1971,31
"THA",1971,284
"TJK",1971,NA
"TKM",1971,NA
"TON",1971,0
"TTO",1971,12
"TUN",1971,96
"TUR",1971,2317
"TWN",1971,58
"TZA",1971,24
"UGA",1971,28
