"country_iso3","year","registrations"
"LCA",1972,NA
"LIE",1972,0
"LKA",1972,21
"LSO",1972,2
"LTU",1972,NA
"LUX",1972,0
"LVA",1972,NA
"MAC",1972,0
"MAR",1972,32
"MCO",1972,0
"MDA",1972,NA
"MDG",1972,12
"MDV",1972,0
"MEX",1972,228
"MKD",1972,NA
"MLI",1972,7
"MLT",1972,19
"MMR",1972,16
"MNE",1972,NA
"MNG",1972,0
"MOZ",1972,3
"MRT",1972,3
"MSR",1972,0
"MTQ",1972,0
"MUS",1972,17
"MWI",1972,2
"MYS",1972,51
"NAM",1972,5
"NER",1972,0
"NGA",1972,201
"NIC",1972,21
"NLD",1972,20
"NONAT",1972,95
"NOR",1972,95
"NPL",1972,29
"NZL",1972,10
"OMN",1972,4
"PAK",1972,77
"PAN",1972,10
"PER",1972,73
"PHL",1972,67
"PNG",1972,NA
"POL",1972,269
"PRI",1972,0
"PRK",1972,0
"PRT",1972,81
"PRY",1972,21
"PSE",1972,NA
"QAT",1972,0
"ROU",1972,83
"RUABU",1972,NA
"RUS",1972,NA
"RWA",1972,28
"SAU",1972,4
"SDN",1972,73
"SEN",1972,25
"SGP",1972,9
"SLB",1972,NA
"SLE",1972,24
"SLV",1972,34
"SMR",1972,0
"SOM",1972,27
"SRB",1972,NA
"SSD",1972,NA
"SUHH",1972,19
"SVK",1972,NA
"SVN",1972,NA
"SWE",1972,93
"SWZ",1972,0
"SYC",1972,NA
"SYR",1972,136
"TCA",1972,0
"TCD",1972,0
"TGO",1972,22
"THA",1972,172
"TJK",1972,NA
"TKM",1972,NA
"TON",1972,0
"TTO",1972,6
"TUN",1972,114
"TUR",1972,3116
"TWN",1972,73
"TZA",1972,3
"UGA",1972,30
"UKR",1972,NA
"URY",1972,14
"USA",1972,1971
"UZB",1972,NA
"VAT",1972,0
"VCT",1972,NA
"VEN",1972,79
"VGB",1972,0
"VNM",1972,213
"WSM",1972,0
"YDYE",1972,0
"YEM",1972,10
"YUCS",1972,327
"ZAF",1972,53
"ZMB",1972,17
"ZWE",1972,3
"AFG",1973,79
"AGO",1973,0
"ALB",1973,0
"AND",1973,1
"ANHH",1973,0
"ARE",1973,153
"ARG",1973,123
"ARM",1973,NA
"ATG",1973,NA
"AUS",1973,117
"AUT",1973,4
"AZE",1973,NA
"BDI",1973,0
"BEL",1973,114
"BEN",1973,22
"BFA",1973,4
"BGD",1973,19
"BGR",1973,28
"BHR",1973,0
"BHS",1973,0
"BIH",1973,NA
"BLR",1973,NA
"BLZ",1973,NA
"BMU",1973,0
"BOL",1973,48
"BRA",1973,291
"BRB",1973,0
"BRN",1973,NA
"BTN",1973,0
"BWA",1973,4
"CAF",1973,6
"CAN",1973,172
"CHE",1973,346
"CHL",1973,70
"CHN",1973,64
"CIV",1973,34
"CMR",1973,19
"COD",1973,21
"COG",1973,3
"COL",1973,105
"COM",1973,NA
"CONGO",1973,0
"CPV",1973,NA
"CRI",1973,15
"CSHH",1973,77
"CSXX",1973,NA
"CUB",1973,0
"CYP",1973,41
"CZE",1973,NA
"DDDE",1973,0
"DEU",1973,1571
"DJI",1973,NA
"DMA",1973,NA
"DNK",1973,27
"DOM",1973,11
"DZA",1973,79
"ECU",1973,42
"EGY",1973,0
"ERI",1973,NA
"ESP",1973,356
"EST",1973,NA
"ETH",1973,39
"FIN",1973,90
"FJI",1973,0
"FRA",1973,708
"GAB",1973,12
"GBR",1973,350
"GEO",1973,NA
"GHA",1973,62
"GIN",1973,0
"GMB",1973,1
"GNB",1973,0
"GNQ",1973,0
"GRC",1973,688
"GRD",1973,NA
"GTM",1973,30
"GUAYA",1973,1
"GUM",1973,0
"COMIS",1973,NA
"HKG",1973,33
"HND",1973,19
"HRV",1973,NA
"HTI",1973,23
"HUN",1973,86
"IDN",1973,514
"IND",1973,227
"IRL",1973,33
"IRN",1973,320
"IRQ",1973,31
"ISL",1973,20
"ISPAL",1973,109
"ISR",1973,0
"ITA",1973,488
"JAM",1973,17
"JOR",1973,87
"JPN",1973,1296
"KAZ",1973,NA
"KEN",1973,28
"KGZ",1973,NA
"KHM",1973,10
"KNA",1973,NA
"KOR",1973,540
"KWT",1973,2
"LAO",1973,0
"LBN",1973,50
"LBR",1973,2
"LBY",1973,49
"LCA",1973,NA
"LIE",1973,0
"LKA",1973,27
"LSO",1973,3
"LTU",1973,NA
"LUX",1973,3
"LVA",1973,NA
"MAC",1973,0
"MAR",1973,39
"MCO",1973,0
"MDA",1973,NA
"MDG",1973,10
"MDV",1973,0
"MEX",1973,192
"MKD",1973,NA
"MLI",1973,12
"MLT",1973,22
"MMR",1973,29
"MNE",1973,NA
"MNG",1973,0
"MOZ",1973,0
"MRT",1973,1
"MSR",1973,0
"MTQ",1973,0
"MUS",1973,1
"MWI",1973,2
"MYS",1973,20
"NAM",1973,0
"NER",1973,2
"NGA",1973,146
"NIC",1973,7
"NLD",1973,31
"NONAT",1973,175
"NOR",1973,58
"NPL",1973,12
"NZL",1973,9
"OMN",1973,0
"PAK",1973,65
"PAN",1973,16
"PER",1973,87
"PHL",1973,18
"PNG",1973,NA
"POL",1973,91
"PRI",1973,0
"PRK",1973,0
"PRT",1973,116
"PRY",1973,9
"PSE",1973,NA
"QAT",1973,0
"ROU",1973,71
"RUABU",1973,NA
"RUS",1973,NA
"RWA",1973,29
"SAU",1973,6
"SDN",1973,54
"SEN",1973,7
"SGP",1973,13
"SLB",1973,NA
"SLE",1973,17
"SLV",1973,31
"SMR",1973,0
"SOM",1973,11
"SRB",1973,NA
"SSD",1973,NA
"SUHH",1973,2
"SVK",1973,NA
"SVN",1973,NA
"SWE",1973,89
"SWZ",1973,0
"SYC",1973,NA
"SYR",1973,79
"TCA",1973,0
"TCD",1973,21
"TGO",1973,34
"THA",1973,208
"TJK",1973,NA
"TKM",1973,NA
"TON",1973,0
"TTO",1973,13
"TUN",1973,94
"TUR",1973,3138
"TWN",1973,0
"TZA",1973,34
"UGA",1973,12
"UKR",1973,NA
"URY",1973,13
"USA",1973,2207
"UZB",1973,NA
"VAT",1973,0
"VCT",1973,NA
"VEN",1973,57
"VGB",1973,0
"VNM",1973,94
"WSM",1973,0
"YDYE",1973,0
"YEM",1973,4
"YUCS",1973,324
"ZAF",1973,77
"ZMB",1973,1
"ZWE",1973,1
"AFG",1974,63
"AGO",1974,2
"ALB",1974,0
"AND",1974,0
"ANHH",1974,0
"ARE",1974,540
"ARG",1974,83
"ARM",1974,NA
"ATG",1974,NA
"AUS",1974,104
"AUT",1974,2
"AZE",1974,NA
"BDI",1974,0
"BEL",1974,74
"BEN",1974,10
"BFA",1974,0
"BGD",1974,42
"BGR",1974,23
"BHR",1974,0
"BHS",1974,2
"BIH",1974,NA
"BLR",1974,NA
"BLZ",1974,NA
"BMU",1974,0
"BOL",1974,43
"BRA",1974,326
"BRB",1974,0
"BRN",1974,NA
"BTN",1974,0
"BWA",1974,1
"CAF",1974,5
"CAN",1974,350
"CHE",1974,271
"CHL",1974,201
"CHN",1974,97
"CIV",1974,40
"CMR",1974,24
"COD",1974,15
"COG",1974,0
"COL",1974,80
"COM",1974,3
"CONGO",1974,0
"CPV",1974,NA
"CRI",1974,13
"CSHH",1974,55
"CSXX",1974,NA
"CUB",1974,0
"CYP",1974,42
"CZE",1974,NA
"DDDE",1974,0
"DEU",1974,2357
"DJI",1974,NA
"DMA",1974,NA
"DNK",1974,55
"DOM",1974,3
"DZA",1974,83
"ECU",1974,35
"EGY",1974,37
"ERI",1974,NA
"ESP",1974,346
"EST",1974,NA
"ETH",1974,0
"FIN",1974,104
"FJI",1974,0
"FRA",1974,757
"GAB",1974,2
"GBR",1974,336
"GEO",1974,NA
"GHA",1974,51
"GIN",1974,1
"GMB",1974,6
"GNB",1974,0
"GNQ",1974,0
"GRC",1974,574
"GRD",1974,0
"GTM",1974,25
"GUAYA",1974,0
"GUM",1974,0
"COMIS",1974,NA
"HKG",1974,16
"HND",1974,9
"HRV",1974,NA
"HTI",1974,7
"HUN",1974,61
"IDN",1974,341
"IND",1974,197
"IRL",1974,34
"IRN",1974,378
"IRQ",1974,35
"ISL",1974,28
"ISPAL",1974,153
"ISR",1974,0
"ITA",1974,465
"JAM",1974,5
"JOR",1974,90
"JPN",1974,1387
"KAZ",1974,NA
"KEN",1974,29
"KGZ",1974,NA
"KHM",1974,6
"KNA",1974,NA
"KOR",1974,455
"KWT",1974,5
"LAO",1974,0
"LBN",1974,36
"LBR",1974,4
"LBY",1974,113
"LCA",1974,NA
"LIE",1974,0
"LKA",1974,26
"LSO",1974,3
"LTU",1974,NA
"LUX",1974,2
"LVA",1974,NA
"MAC",1974,0
"MAR",1974,29
"MCO",1974,0
"MDA",1974,NA
"MDG",1974,13
"MDV",1974,0
"MEX",1974,207
"MKD",1974,NA
"MLI",1974,18
"MLT",1974,12
"MMR",1974,3
"MNE",1974,NA
"MNG",1974,0
"MOZ",1974,0
"MRT",1974,3
"MSR",1974,0
"MTQ",1974,2
"MUS",1974,0
"MWI",1974,2
"MYS",1974,45
"NAM",1974,0
"NER",1974,0
"NGA",1974,132
"NIC",1974,13
"NLD",1974,40
"NONAT",1974,111
"NOR",1974,83
"NPL",1974,6
"NZL",1974,12
"OMN",1974,5
"PAK",1974,59
"PAN",1974,11
"PER",1974,78
"PHL",1974,36
"PNG",1974,NA
"POL",1974,328
"PRI",1974,0
"PRK",1974,0
"PRT",1974,87
"PRY",1974,8
"PSE",1974,NA
"QAT",1974,0
"ROU",1974,87
"RUABU",1974,NA
"RUS",1974,NA
"RWA",1974,2
"SAU",1974,4
"SDN",1974,68
"SEN",1974,16
"SGP",1974,20
"SLB",1974,NA
"SLE",1974,35
"SLV",1974,33
"SMR",1974,0
"SOM",1974,21
"SRB",1974,NA
"SSD",1974,NA
"SUHH",1974,301
"SVK",1974,NA
"SVN",1974,NA
"SWE",1974,86
"SWZ",1974,0
"SYC",1974,2
"SYR",1974,137
"TCA",1974,0
"TCD",1974,5
"TGO",1974,48
"THA",1974,133
"TJK",1974,NA
"TKM",1974,NA
"TON",1974,0
"TTO",1974,2
"TUN",1974,44
"TUR",1974,2199
"TWN",1974,0
"TZA",1974,15
"UGA",1974,22
"UKR",1974,NA
"URY",1974,15
"USA",1974,1827
"UZB",1974,NA
"VAT",1974,0
"VCT",1974,NA
"VEN",1974,49
"VGB",1974,0
"VNM",1974,38
"WSM",1974,0
"YDYE",1974,0
"YEM",1974,7
"YUCS",1974,298
"ZAF",1974,75
"ZMB",1974,11
"ZWE",1974,2
"AFG",1975,39
"AGO",1975,0
"ALB",1975,0
"AND",1975,0
"ANHH",1975,0
"ARE",1975,0
"ARG",1975,78
"ARM",1975,NA
"ATG",1975,NA
"AUS",1975,137
"AUT",1975,2
"AZE",1975,NA
"BDI",1975,0
"BEL",1975,106
"BEN",1975,2
"BFA",1975,4
"BGD",1975,52
"BGR",1975,13
"BHR",1975,0
"BHS",1975,0
"BIH",1975,NA
"BLR",1975,NA
"BLZ",1975,NA
"BMU",1975,0
"BOL",1975,51
"BRA",1975,359
"BRB",1975,0
"BRN",1975,NA
"BTN",1975,0
"BWA",1975,2
"CAF",1975,0
"CAN",1975,160
"CHE",1975,287
"CHL",1975,191
"CHN",1975,81
"CIV",1975,59
"CMR",1975,40
"COD",1975,18
"COG",1975,0
"COL",1975,83
"COM",1975,0
"CONGO",1975,0
"CPV",1975,0
"CRI",1975,19
"CSHH",1975,0
"CSXX",1975,NA
"CUB",1975,1
"CYP",1975,26
"CZE",1975,NA
"DDDE",1975,0
"DEU",1975,3423
"DJI",1975,NA
"DMA",1975,NA
"DNK",1975,55
"DOM",1975,7
"DZA",1975,194
"ECU",1975,53
"EGY",1975,351
"ERI",1975,NA
"ESP",1975,292
"EST",1975,NA
"ETH",1975,72
"FIN",1975,91
"FJI",1975,0
"FRA",1975,676
"GAB",1975,9
"GBR",1975,315
"GEO",1975,NA
"GHA",1975,40
"GIN",1975,0
"GMB",1975,10
"GNB",1975,0
"GNQ",1975,0
"GRC",1975,607
"GRD",1975,0
"GTM",1975,37
"GUAYA",1975,0
"GUM",1975,0
"COMIS",1975,NA
"HKG",1975,19
"HND",1975,20
"HRV",1975,NA
"HTI",1975,7
"HUN",1975,3
"IDN",1975,278
"IND",1975,190
"IRL",1975,43
"IRN",1975,382
"IRQ",1975,67
"ISL",1975,51
"ISPAL",1975,48
"ISR",1975,0
"ITA",1975,610
"JAM",1975,8
"JOR",1975,87
"JPN",1975,1340
"KAZ",1975,NA
"KEN",1975,37
"KGZ",1975,NA
"KHM",1975,2
"KNA",1975,NA
"KOR",1975,292
"KWT",1975,4
"LAO",1975,0
"LBN",1975,67
"LBR",1975,30
"LBY",1975,105
"LCA",1975,NA
"LIE",1975,0
"LKA",1975,26
"LSO",1975,1
"LTU",1975,NA
"LUX",1975,2
"LVA",1975,NA
"MAC",1975,0
"MAR",1975,15
"MCO",1975,0
"MDA",1975,NA
"MDG",1975,6
"MDV",1975,0
"MEX",1975,299
"MKD",1975,NA
"MLI",1975,6
"MLT",1975,10
"MMR",1975,1
"MNE",1975,NA
"MNG",1975,0
"MOZ",1975,8
"MRT",1975,0
"MSR",1975,0
"MTQ",1975,0
"MUS",1975,9
"MWI",1975,1
"MYS",1975,39
"NAM",1975,0
"NER",1975,0
"NGA",1975,130
"NIC",1975,11
"NLD",1975,28
"NONAT",1975,99
"NOR",1975,99
"NPL",1975,14
"NZL",1975,16
"OMN",1975,4
"PAK",1975,61
"PAN",1975,10
"PER",1975,127
"PHL",1975,36
"PNG",1975,0
"POL",1975,46
"PRI",1975,0
"PRK",1975,0
"PRT",1975,89
"PRY",1975,7
"PSE",1975,NA
"QAT",1975,0
"ROU",1975,25
"RUABU",1975,NA
"RUS",1975,NA
"RWA",1975,2
"SAU",1975,7
"SDN",1975,93
"SEN",1975,25
"SGP",1975,37
"SLB",1975,NA
"SLE",1975,22
"SLV",1975,19
"SMR",1975,0
"SOM",1975,3
"SRB",1975,NA
"SSD",1975,NA
"SUHH",1975,0
"SVK",1975,NA
"SVN",1975,NA
"SWE",1975,62
"SWZ",1975,1
"SYC",1975,0
"SYR",1975,143
"TCA",1975,0
"TCD",1975,0
"TGO",1975,33
"THA",1975,166
"TJK",1975,NA
"TKM",1975,NA
"TON",1975,0
"TTO",1975,6
"TUN",1975,38
"TUR",1975,1551
"TWN",1975,0
"TZA",1975,9
"UGA",1975,30
"UKR",1975,NA
"URY",1975,18
"USA",1975,1801
"UZB",1975,NA
"VAT",1975,0
"VCT",1975,NA
"VEN",1975,65
"VGB",1975,0
"VNM",1975,77
"WSM",1975,0
"YDYE",1975,0
"YEM",1975,5
"YUCS",1975,108
"ZAF",1975,69
"ZMB",1975,18
"ZWE",1975,3
"AFG",1976,32
"AGO",1976,2
"ALB",1976,0
"AND",1976,0
"ANHH",1976,0
"ARE",1976,7
"ARG",1976,96
"ARM",1976,NA
"ATG",1976,NA
"AUS",1976,148
"AUT",1976,1
"AZE",1976,NA
"BDI",1976,0
"BEL",1976,107
"BEN",1976,2
"BFA",1976,7
"BGD",1976,32
"BGR",1976,5
"BHR",1976,1
"BHS",1976,0
"BIH",1976,NA
"BLR",1976,NA
"BLZ",1976,NA
"BMU",1976,0
"BOL",1976,50
"BRA",1976,452
"BRB",1976,0
"BRN",1976,NA
"BTN",1976,0
"BWA",1976,0
"CAF",1976,4
"CAN",1976,156
"CHE",1976,329
"CHL",1976,157
"CHN",1976,105
"CIV",1976,42
"CMR",1976,21
"COD",1976,33
"COG",1976,8
"COL",1976,67
"COM",1976,0
"CONGO",1976,0
"CPV",1976,0
"CRI",1976,11
"CSHH",1976,1
"CSXX",1976,NA
"CUB",1976,1
"CYP",1976,36
"CZE",1976,NA
"DDDE",1976,0
"DEU",1976,2973
"DJI",1976,NA
"DMA",1976,NA
"DNK",1976,80
"DOM",1976,7
"DZA",1976,642
"ECU",1976,28
"EGY",1976,401
"ERI",1976,NA
"ESP",1976,325
"EST",1976,NA
"ETH",1976,78
"FIN",1976,84
"FJI",1976,0
"FRA",1976,731
"GAB",1976,3
"GBR",1976,306
"GEO",1976,NA
"GHA",1976,40
"GIN",1976,2
"GMB",1976,1
"GNB",1976,0
"GNQ",1976,0
"GRC",1976,670
"GRD",1976,0
"GTM",1976,20
"GUAYA",1976,3
"GUM",1976,0
"COMIS",1976,NA
"HKG",1976,22
"HND",1976,6
"HRV",1976,NA
"HTI",1976,19
"HUN",1976,3
"IDN",1976,261
"IND",1976,199
"IRL",1976,46
"IRN",1976,787
"IRQ",1976,113
"ISL",1976,25
"ISPAL",1976,79
"ISR",1976,0
"ITA",1976,537
"JAM",1976,6
"JOR",1976,122
"JPN",1976,1380
"KAZ",1976,NA
"KEN",1976,22
"KGZ",1976,NA
"KHM",1976,4
"KNA",1976,NA
"KOR",1976,241
"KWT",1976,12
"LAO",1976,2
"LBN",1976,92
"LBR",1976,24
"LBY",1976,115
"LCA",1976,NA
"LIE",1976,0
"LKA",1976,28
"LSO",1976,1
"LTU",1976,NA
"LUX",1976,0
"LVA",1976,NA
"MAC",1976,0
"MAR",1976,18
"MCO",1976,0
"MDA",1976,NA
"MDG",1976,13
"MDV",1976,0
"MEX",1976,211
"MKD",1976,NA
"MLI",1976,13
"MLT",1976,4
"MMR",1976,8
"MNE",1976,NA
"MNG",1976,0
"MOZ",1976,1
"MRT",1976,1
"MSR",1976,0
"MTQ",1976,0
"MUS",1976,3
"MWI",1976,0
"MYS",1976,43
"NAM",1976,5
"NER",1976,0
"NGA",1976,73
"NIC",1976,11
"NLD",1976,63
"NONAT",1976,49
"NOR",1976,106
"NPL",1976,14
"NZL",1976,36
"OMN",1976,0
"PAK",1976,70
"PAN",1976,5
"PER",1976,68
"PHL",1976,31
"PNG",1976,0
"POL",1976,45
"PRI",1976,0
"PRK",1976,0
"PRT",1976,119
"PRY",1976,17
"PSE",1976,NA
"QAT",1976,0
"ROU",1976,12
"RUABU",1976,NA
"RUS",1976,NA
"RWA",1976,12
"SAU",1976,19
"SDN",1976,45
"SEN",1976,20
"SGP",1976,28
"SLB",1976,NA
"SLE",1976,11
"SLV",1976,22
"SMR",1976,0
"SOM",1976,24
"SRB",1976,NA
"SSD",1976,NA
"SUHH",1976,0
"SVK",1976,NA
"SVN",1976,NA
"SWE",1976,84
"SWZ",1976,6
"SYC",1976,0
"SYR",1976,158
"TCA",1976,0
"TCD",1976,5
"TGO",1976,46
"THA",1976,160
"TJK",1976,NA
"TKM",1976,NA
"TON",1976,0
"TTO",1976,2
"TUN",1976,27
"TUR",1976,1512
"TWN",1976,0
"TZA",1976,15
"UGA",1976,26
"UKR",1976,NA
"URY",1976,15
"USA",1976,1981
"UZB",1976,NA
"VAT",1976,0
"VCT",1976,NA
"VEN",1976,55
"VGB",1976,0
"VNM",1976,131
"WSM",1976,0
"YDYE",1976,0
"YEM",1976,7
"YUCS",1976,286
"ZAF",1976,54
"ZMB",1976,10
"ZWE",1976,1
"AFG",1977,44
"AGO",1977,0
"ALB",1977,0
"AND",1977,2
"ANHH",1977,0
"ARE",1977,7
"ARG",1977,134
"ARM",1977,NA
"ATG",1977,NA
"AUS",1977,139
"AUT",1977,2
"AZE",1977,NA
"BDI",1977,3
"BEL",1977,69
"BEN",1977,1
"BFA",1977,8
"BGD",1977,42
"BGR",1977,10
"BHR",1977,0
"BHS",1977,1
"BIH",1977,NA
"BLR",1977,NA
"BLZ",1977,NA
"BMU",1977,0
"BOL",1977,54
"BRA",1977,446
"BRB",1977,0
"BRN",1977,NA
"BTN",1977,0
"BWA",1977,0
"CAF",1977,10
"CAN",1977,182
"CHE",1977,301
"CHL",1977,219
"CHN",1977,84
"CIV",1977,47
"CMR",1977,42
"COD",1977,24
"COG",1977,4
"COL",1977,84
"COM",1977,0
"CONGO",1977,0
"CPV",1977,0
"CRI",1977,18
"CSHH",1977,0
"CSXX",1977,NA
"CUB",1977,0
"CYP",1977,41
"CZE",1977,NA
"DDDE",1977,0
"DEU",1977,3582
"DJI",1977,0
"DMA",1977,NA
"DNK",1977,67
"DOM",1977,12
"DZA",1977,452
"ECU",1977,35
"EGY",1977,267
"ERI",1977,NA
"ESP",1977,229
"EST",1977,NA
"ETH",1977,74
"FIN",1977,98
"FJI",1977,0
"FRA",1977,488
"GAB",1977,13
"GBR",1977,262
"GEO",1977,NA
"GHA",1977,57
"GIN",1977,1
"GMB",1977,2
"GNB",1977,0
"GNQ",1977,0
"GRC",1977,780
"GRD",1977,0
"GTM",1977,22
"GUAYA",1977,2
"GUM",1977,0
"COMIS",1977,NA
"HKG",1977,28
"HND",1977,0
"HRV",1977,NA
"HTI",1977,13
"HUN",1977,0
"IDN",1977,186
"IND",1977,227
"IRL",1977,40
"IRN",1977,808
"IRQ",1977,86
"ISL",1977,20
"ISPAL",1977,57
"ISR",1977,0
"ITA",1977,569
"JAM",1977,2
"JOR",1977,160
"JPN",1977,1360
"KAZ",1977,NA
"KEN",1977,18
"KGZ",1977,NA
"KHM",1977,1
"KNA",1977,NA
"KOR",1977,218
"KWT",1977,21
"LAO",1977,4
"LBN",1977,130
"LBR",1977,10
"LBY",1977,118
"LCA",1977,NA
"LIE",1977,0
"LKA",1977,36
"LSO",1977,0
"LTU",1977,NA
"LUX",1977,3
"LVA",1977,NA
"MAC",1977,0
"MAR",1977,16
"MCO",1977,0
"MDA",1977,NA
"MDG",1977,9
"MDV",1977,0
"MEX",1977,163
"MKD",1977,NA
"MLI",1977,9
"MLT",1977,3
"MMR",1977,16
"MNE",1977,NA
"MNG",1977,0
"MOZ",1977,0
"MRT",1977,6
"MSR",1977,0
"MTQ",1977,0
"MUS",1977,5
"MWI",1977,0
"MYS",1977,48
"NAM",1977,0
"NER",1977,5
"NGA",1977,80
"NIC",1977,16
"NLD",1977,58
"NONAT",1977,42
"NOR",1977,159
"NPL",1977,12
"NZL",1977,12
"OMN",1977,0
"PAK",1977,74
"PAN",1977,7
"PER",1977,41
"PHL",1977,42
"PNG",1977,0
"POL",1977,47
"PRI",1977,0
"PRK",1977,0
"PRT",1977,91
"PRY",1977,11
"PSE",1977,NA
"QAT",1977,2
"ROU",1977,13
"RUABU",1977,NA
"RUS",1977,NA
"RWA",1977,4
"SAU",1977,13
"SDN",1977,81
"SEN",1977,15
"SGP",1977,26
"SLB",1977,NA
"SLE",1977,15
"SLV",1977,19
"SMR",1977,0
"SOM",1977,9
"SRB",1977,NA
"SSD",1977,NA
"SUHH",1977,0
"SVK",1977,NA
"SVN",1977,NA
"SWE",1977,85
"SWZ",1977,1
"SYC",1977,0
"SYR",1977,287
"TCA",1977,0
"TCD",1977,2
"TGO",1977,26
"THA",1977,175
"TJK",1977,NA
"TKM",1977,NA
"TON",1977,0
"TTO",1977,3
"TUN",1977,19
"TUR",1977,1884
"TWN",1977,0
"TZA",1977,11
"UGA",1977,42
"UKR",1977,NA
"URY",1977,23
"USA",1977,1773
"UZB",1977,NA
"VAT",1977,1
"VCT",1977,NA
"VEN",1977,75
"VGB",1977,0
"VNM",1977,114
"WSM",1977,0
"YDYE",1977,0
"YEM",1977,13
"YUCS",1977,43
"ZAF",1977,57
"ZMB",1977,6
"ZWE",1977,3
"AFG",1978,17
"AGO",1978,2
"ALB",1978,3
"AND",1978,0
"ANHH",1978,0
"ARE",1978,0
"ARG",1978,110
"ARM",1978,NA
"ATG",1978,NA
"AUS",1978,174
"AUT",1978,2
"AZE",1978,NA
"BDI",1978,11
"BEL",1978,72
"BEN",1978,3
"BFA",1978,11
"BGD",1978,40
"BGR",1978,32
"BHR",1978,0
"BHS",1978,0
"BIH",1978,NA
"BLR",1978,NA
"BLZ",1978,NA
"BMU",1978,0
"BOL",1978,41
"BRA",1978,517
"BRB",1978,0
"BRN",1978,NA
"BTN",1978,0
"BWA",1978,0
"CAF",1978,6
"CAN",1978,150
"CHE",1978,374
"CHL",1978,156
"CHN",1978,82
"CIV",1978,47
"CMR",1978,48
"COD",1978,23
"COG",1978,1
"COL",1978,102
"COM",1978,1
"CONGO",1978,0
"CPV",1978,1
"CRI",1978,24
"CSHH",1978,41
"CSXX",1978,NA
"CUB",1978,1
"CYP",1978,44
"CZE",1978,NA
"DDDE",1978,0
"DEU",1978,3141
"DJI",1978,0
"DMA",1978,0
"DNK",1978,65
"DOM",1978,7
"DZA",1978,225
"ECU",1978,46
"EGY",1978,240
"ERI",1978,NA
"ESP",1978,271
"EST",1978,NA
"ETH",1978,31
"FIN",1978,82
"FJI",1978,1
"FRA",1978,466
"GAB",1978,5
"GBR",1978,293
"GEO",1978,NA
"GHA",1978,24
"GIN",1978,1
"GMB",1978,0
"GNB",1978,0
"GNQ",1978,0
"GRC",1978,738
"GRD",1978,0
"GTM",1978,21
"GUAYA",1978,0
"GUM",1978,0
"COMIS",1978,NA
"HKG",1978,11
"HND",1978,12
"HRV",1978,NA
"HTI",1978,7
"HUN",1978,141
"IDN",1978,215
"IND",1978,169
"IRL",1978,43
"IRN",1978,484
"IRQ",1978,164
"ISL",1978,25
"ISPAL",1978,118
"ISR",1978,0
"ITA",1978,721
"JAM",1978,8
"JOR",1978,192
"JPN",1978,1348
"KAZ",1978,NA
"KEN",1978,19
"KGZ",1978,NA
"KHM",1978,1
"KNA",1978,NA
"KOR",1978,244
"KWT",1978,4
"LAO",1978,1
"LBN",1978,106
"LBR",1978,0
"LBY",1978,302
"LCA",1978,NA
"LIE",1978,0
"LKA",1978,52
"LSO",1978,0
"LTU",1978,NA
"LUX",1978,3
"LVA",1978,NA
"MAC",1978,0
"MAR",1978,40
"MCO",1978,0
"MDA",1978,NA
"MDG",1978,7
"MDV",1978,0
"MEX",1978,163
"MKD",1978,NA
"MLI",1978,10
"MLT",1978,1
"MMR",1978,16
"MNE",1978,NA
"MNG",1978,0
"MOZ",1978,0
"MRT",1978,7
"MSR",1978,0
"MTQ",1978,0
"MUS",1978,3
"MWI",1978,4
"MYS",1978,27
"NAM",1978,5
"NER",1978,0
"NGA",1978,49
"NIC",1978,30
"NLD",1978,50
"NONAT",1978,104
"NOR",1978,147
"NPL",1978,10
"NZL",1978,36
"OMN",1978,1
"PAK",1978,73
"PAN",1978,3
"PER",1978,38
"PHL",1978,45
"PNG",1978,0
"POL",1978,500
"PRI",1978,0
"PRK",1978,4
"PRT",1978,96
"PRY",1978,13
"PSE",1978,NA
"QAT",1978,7
"ROU",1978,140
"RUABU",1978,NA
"RUS",1978,NA
"RWA",1978,4
"SAU",1978,36
"SDN",1978,43
"SEN",1978,15
"SGP",1978,24
"SLB",1978,0
"SLE",1978,25
"SLV",1978,16
"SMR",1978,0
"SOM",1978,43
"SRB",1978,NA
"SSD",1978,NA
"SUHH",1978,172
"SVK",1978,NA
"SVN",1978,NA
"SWE",1978,82
"SWZ",1978,0
"SYC",1978,0
"SYR",1978,412
"TCA",1978,0
"TCD",1978,3
"TGO",1978,26
"THA",1978,194
"TJK",1978,NA
"TKM",1978,NA
"TON",1978,0
"TTO",1978,2
"TUN",1978,33
"TUR",1978,1817
"TWN",1978,22
"TZA",1978,18
"UGA",1978,32
"UKR",1978,NA
"URY",1978,16
"USA",1978,1706
"UZB",1978,NA
"VAT",1978,0
"VCT",1978,NA
"VEN",1978,87
"VGB",1978,0
"VNM",1978,26
"WSM",1978,0
"YDYE",1978,1
"YEM",1978,11
"YUCS",1978,281
"ZAF",1978,52
"ZMB",1978,4
"ZWE",1978,20
"AFG",1979,37
"AGO",1979,3
"ALB",1979,3
"AND",1979,1
"ANHH",1979,0
"ARE",1979,0
"ARG",1979,156
"ARM",1979,NA
"ATG",1979,NA
"AUS",1979,151
"AUT",1979,2
"AZE",1979,NA
"BDI",1979,0
"BEL",1979,74
"BEN",1979,9
"BFA",1979,24
"BGD",1979,35
"BGR",1979,28
"BHR",1979,0
"BHS",1979,1
"BIH",1979,NA
